ULMeanNL,AttOutExecInterXn,SuccOutInterXn,ArfcnUL,NbrPktDL,NbrPktLossDL,RSRQ,Label
-108,178,166,509178,74219,564,-11,0
-109,121,115,374660,181980,6711,-11,0
-110,122,117,630380,346568,26248,-11,0
-106,169,167,503720,111394,1355,-12,0
-98,191,147,505596,95994,32256,-11,2
-112,143,139,180140,109204,8275,-10,0

-95,152,109,158240,121871,15528,-12,2
-98,205,130,158240,178600,57579,-12,2
-95,142,97,147220,484880,155271,-12,2
-96,218,153,140960,371252,64217,-12,2
-95,178,138,133320,63793,18728,-12,2
-94,236,180,133320,184007,41625,-12,2

-96,215,156,179240,585746,121117,-12,2
-94,196,106,177520,561559,204435,-12,2
-95,174,126,179240,123369,34665,-12,2
-96,202,132,177520,368555,114108,-12,2
-94,207,148,179240,97702,27495,-12,2
-95,142,126,177520,60144,17170,-12,2


-107,111,108,535890,72084,5908,-11,0
-107,168,159,370160,25093,803,-11,0
-108,86,80,288340,261120,5123,-11,0
-108,161,160,148140,127552,9941,-11,0
-109,136,134,354840,126673,5897,-11,0
-107,158,148,478000,194280,15660,-11,0

-114,201,197,634364,40213,3864,-9,0
-113,172,160,165560,156639,4733,-8,0
-115,190,176,731792,147231,7446,-9,0
-110,191,184,404300,118766,5417,-10,0
-109,134,127,498140,105498,5463,-11,0
-107,147,139,636087,259362,18985,-11,0

-112,185,183,349080,25491,1281,-9,0
-108,167,156,698845,74993,3356,-11,0
-106,195,185,650646,650961,36071,-12,0
-108,193,181,698845,28411,2344,-11,0
-106,138,131,527634,122631,905,-11,0
-106,106,96,462540,154780,12058,-12,0


-105,114,112,638358,244344,11613,-12,0
-86,238,72,650636,205183,135056,-17,3
-108,166,151,393620,360570,32442,-11,0
-108,161,160,384700,117337,4887,-11,0
-110,204,196,178980,259312,20061,-10,0
-110,197,187,402500,462853,38545,-10,0

-95,194,106,140820,171319,50570,-12,2
-96,153,112,143080,119523,40694,-12,2
-97,173,108,143080,114701,36772,-12,2
-98,174,142,143080,400337,97673,-11,2
-109,174,157,522300,78113,1661,-11,0
-95,171,99,511580,105904,28150,-12,2

-108,120,115,352400,16356,405,-11,0
-109,148,134,520180,21552,103,-11,0
-96,214,138,520180,165945,57399,-11,2
-107,204,193,371180,87277,2994,-11,0
-106,138,134,290940,441829,9022,-12,0
-94,179,140,290940,155301,42770,-12,2


-111,143,139,462720,222288,2093,-10,0
-88,188,52,693796,457193,363911,-16,3
-109,181,165,633693,356199,20028,-11,0
-86,183,50,382900,351680,233894,-17,3
-87,167,66,382900,204021,138216,-17,3
-110,185,183,163520,149476,455,-10,0

-105,153,140,534920,227541,21896,-12,0
-107,112,109,508520,13763,355,-11,0
-113,136,123,135700,119298,11435,-10,0
-109,135,129,385000,194093,569,-11,0
-108,106,101,290200,257042,18368,-11,0
-106,120,109,350460,375541,37000,-12,0

-94,75,54,142240,119535,42681,-12,1
-95,97,60,142240,241707,58148,-12,1
-97,118,97,142240,16967,5896,-11,1
-98,103,85,297680,69497,21994,-11,1
-97,105,76,394480,228458,54044,-11,1
-99,114,103,142240,59838,14590,-10,1


-111,142,136,287480,214482,15990,-9,0
-114,204,192,639214,92769,3744,-10,0
-112,144,132,340140,57126,4844,-10,0
-111,181,173,176600,627896,62005,-10,0
-112,189,174,511900,172104,11011,-10,0
-99,168,124,343080,329924,54585,-11,1

-89,194,63,500400,431438,241906,-16,3
-89,230,41,289320,97995,79650,-15,3
-90,215,55,645340,634664,420214,-15,3
-88,221,60,520540,267244,194508,-17,3
-88,202,70,402900,294354,227781,-16,3
-90,188,58,144200,463430,305592,-15,3

-96,132,81,167580,174822,41396,-12,1
-110,206,186,176180,185570,2916,-10,0
-103,113,77,652896,89814,24369,-9,1
-96,150,110,381140,218463,77369,-11,1
-97,165,122,404400,325845,77950,-12,1
-105,194,190,462820,120490,8755,-12,0


-99,167,130,288340,501523,200426,-11,1
-107,179,174,170260,216740,7192,-11,0
-98,145,111,290680,109696,7168,-11,1
-96,80,58,376320,177520,41669,-11,1
-109,139,125,462840,422539,42170,-11,0
-111,167,161,700733,333390,29265,-10,0

-106,163,162,295180,367587,21213,-11,0
-96,117,67,378480,45981,14710,-11,1
-100,83,62,515280,89758,25580,-10,1
-98,115,73,142320,95864,29610,-11,1
-94,183,142,169740,570263,172983,-12,1
-95,135,93,176380,310381,80497,-12,1

-96,191,147,177580,200566,49101,-12,2
-93,177,145,176040,93557,32766,-12,2
-94,209,152,168520,65300,23497,-12,2
-96,181,113,168520,421648,122782,-12,2
-96,175,111,167960,397060,147319,-12,2
-95,187,124,165700,138896,40987,-12,2


-98,202,132,350320,53631,18235,-12,2
-109,166,160,381440,118041,10714,-11,0
-109,132,126,639620,177785,13552,-11,0
-96,168,119,632474,276205,109140,-12,2
-94,193,134,639620,273839,54241,-12,2
-96,215,150,644699,66599,22776,-12,2

-105,127,125,528700,184313,11151,-12,0
-107,131,127,528700,54792,392,-11,0
-111,171,154,167040,233932,10969,-10,0
-107,151,149,383060,330887,15857,-11,0
-106,129,117,372820,279408,22209,-11,0
-109,117,108,143120,385198,23984,-10,0

-108,192,176,178540,78613,5164,-11,0
-108,153,145,381420,265901,17952,-11,0
-111,205,193,506340,28681,1260,-10,0
-102,141,104,167460,140633,47546,-10,1
-112,113,108,381420,292711,8233,-11,0
-108,144,139,506340,152252,12954,-11,0


-103,104,73,645671,57595,20073,-8,1
-101,70,48,157940,91820,22207,-9,1
-98,115,83,381540,68803,18394,-11,1
-97,136,106,294800,187022,55793,-11,1
-106,133,124,395160,443688,28603,-11,0
-96,113,72,497680,326691,92457,-11,1

-106,114,87,135660,49657,19265,-8,1
-116,129,124,695481,235087,18687,-8,0
-111,128,116,141840,232099,5484,-10,0
-99,131,107,163140,158328,23591,-11,1
-110,154,152,515280,344958,29936,-11,0
-95,148,119,462980,445390,123399,-12,1

-109,151,138,293940,414336,4625,-11,0
-110,124,115,460720,228849,14634,-11,0
-99,132,102,621244,77693,28063,-11,1
-109,156,147,501060,179465,391,-10,0
-113,190,175,177160,619534,7026,-9,0
-116,155,148,643176,93409,8567,-9,0


-104,149,136,531444,33913,1270,-12,0
-98,73,52,531444,65223,21537,-11,1
-96,91,75,164420,148801,57754,-11,1
-99,121,90,164420,121487,40919,-10,1
-99,100,65,642610,32941,8583,-10,1
-94,115,77,633759,305046,105680,-12,1

-100,99,64,352840,284457,62681,-11,1
-109,137,134,522920,33035,932,-11,0
-108,159,156,352840,438786,16823,-11,0
-108,151,144,285600,158620,3664,-11,0
-105,159,154,511580,26890,1679,-11,0
-96,142,94,511580,256894,38931,-12,1

-111,105,100,385320,148135,13277,-11,0
-113,141,141,177580,186525,13633,-10,0
-112,172,166,641070,107096,2076,-9,0
-109,103,97,404820,13157,225,-10,0
-113,113,108,639833,79801,3674,-9,0
-116,151,146,158700,73421,675,-9,0


-93,200,69,721285,268591,217298,-12,3
-90,158,67,135040,110783,84725,-15,3
-89,171,59,177680,150186,86384,-15,3
-90,171,79,640706,91150,58505,-15,3
-86,178,42,497000,66522,55535,-17,3
-86,212,60,516780,524979,376134,-18,3

-109,116,105,477060,300747,29198,-11,0
-111,184,167,626894,197828,7072,-10,0
-116,135,131,148100,232475,18667,-9,0
-88,184,55,628674,115659,73607,-15,3
-106,127,124,644962,103921,8771,-11,0
-109,185,176,516300,651379,42650,-11,0

-105,146,131,141000,69046,5359,-12,0
-108,191,173,141000,406151,36661,-11,0
-108,190,177,404620,413919,10032,-11,0
-105,104,100,345580,279071,1498,-11,0
-107,115,110,529296,64889,4572,-11,0
-110,147,136,380100,389855,28223,-11,0


-107,122,110,473840,153830,7220,-12,0
-107,147,136,505120,262158,3996,-11,0
-105,127,118,638999,95782,5855,-11,0
-108,212,200,537786,505857,6485,-11,0
-111,228,207,638999,429468,15435,-11,0
-111,203,190,392000,287806,6319,-10,0

-107,152,147,142500,414844,25869,-12,0
-95,175,116,166740,69180,22841,-12,1
-109,140,130,178080,369717,23250,-10,0
-101,150,102,642174,183796,61823,-9,1
-100,176,121,373380,105248,28603,-10,1
-99,84,61,166440,245049,46036,-11,1

-98,200,150,292060,546129,191525,-10,2
-108,168,167,512559,442110,43512,-11,0
-97,240,191,515736,37027,11327,-12,2
-95,139,97,514520,22049,8893,-12,2
-95,199,142,514520,301799,116361,-12,2
-94,174,121,514520,112203,33302,-12,2


-106,140,130,289120,43538,3529,-12,0
-95,167,119,289120,140647,44740,-12,2
-98,176,124,289120,279177,71683,-11,2
-111,170,169,679892,24225,1149,-11,0
-110,149,144,696053,75115,7419,-10,0
-115,173,159,165800,285033,27744,-8,0

-102,129,129,377180,39979,2830,-12,0
-94,186,123,370440,454867,115839,-12,2
-96,154,101,377180,182341,43921,-12,2
